name,category,description,ingredients
素食蛋炒飯,主食,簡單快速的家常炒飯，粒粒分明蛋香四溢,白米|雞蛋|高麗菜|紅蘿蔔|醬油|鹽|白胡椒
台式素炒麵,主食,經典台式風味，香菇爆香搭配爽脆蔬菜,麵條|高麗菜|紅蘿蔔|木耳|香菇|醬油|黑醋|香油(白麻油)
番茄炒蛋蓋飯,主食,酸甜開胃，滑嫩雞蛋配上熱騰騰白飯,白米|番茄|雞蛋|薑|糖|鹽|番茄糊(Paste)
野菇白醬燉飯,主食,濃郁奶香與多種菇類的完美結合,義大利燉飯米|杏鮑菇|鴻喜菇|鮮奶|奶油|帕瑪森起司粉|黑胡椒|鹽
南瓜米粉,主食,金黃南瓜包裹著米粉，香甜不膩,米粉|南瓜|香菇|高麗菜|芹菜|醬油|白胡椒|鹽
麻油蛋湯麵,主食,冬日暖身首選，麻油薑香撲鼻,麵條|黑麻油|薑|雞蛋|高麗菜|鹽
麻婆豆腐燴飯,主食,香辣下飯，軟嫩豆腐配上素肉燥口感豐富,白米|嫩豆腐|素肉燥|豆瓣醬|薑|醬油|糖|香油(白麻油)
南洋素咖哩飯,主食,加入椰奶與蘋果的溫和咖哩，老少咸宜,白米|馬鈴薯|紅蘿蔔|咖哩粉|椰奶|蘋果|鹽|黑胡椒
經典青醬義大利麵,主食,自製新鮮青醬，香氣濃郁,義大利麵(直麵)|九層塔|松子|初榨橄欖油|帕瑪森起司粉|鹽|黑胡椒
泰式素炒河粉,主食,酸甜微辣的泰式風味，開胃滿足,泰式河粉|豆干|雞蛋|花生|羅望子醬(酸子)|棕櫚糖(椰糖)|辣椒|檸檬|高麗菜
古早味高麗菜飯,主食,充滿回憶的台式炊飯，蔬菜甜味滲入米飯,白米|高麗菜|香菇|素肉燥|醬油|白胡椒
焗烤菠菜千層麵,主食,層層堆疊的麵皮與起司，義式經典美味,千層麵皮|菠菜|番茄糊(Paste)|摩扎瑞拉起司(Mozzarella)|義式香料粉
滑蛋鴻喜菇丼,主食,日式風味，滑嫩蛋液包覆鮮菇，口感溫潤,白米|雞蛋|鴻喜菇|洋蔥|醬油|糖
芋頭香菇鹹粥,主食,綿密芋頭與香氣十足的香菇，暖胃首選,白米|芋頭|香菇|芹菜|白胡椒|鹽
川味螞蟻上樹,主食,吸滿香辣湯汁的冬粉，開胃又下飯,冬粉|素肉燥|豆瓣醬|薑|醬油
泰式鳳梨炒飯,主食,咖哩香氣結合酸甜鳳梨與酥脆腰果，充滿熱帶風情,白米|鳳梨|腰果|素肉燥|咖哩粉|鹽
義式番茄筆管麵,主食,筆管麵吸附濃郁茄汁，酸甜適中,筆管麵|番茄|番茄糊(Paste)|羅勒葉(甜羅勒)|帕瑪森起司粉
塔香茄子拌麵,主食,九層塔香氣與軟嫩茄子，簡單拌麵也能很豪華,麵條|茄子|九層塔|素蠔油|醬油
黃金法式吐司,主食,吸滿蛋奶液的吐司煎至金黃，淋上蜂蜜的幸福早餐,吐司|雞蛋|鮮奶|奶油|蜂蜜
紅燒麵腸麵,主食,麵腸模擬肉口感，搭配甘甜蘿蔔湯頭，台式紅燒風味,麵條|麵腸|白蘿蔔|紅蘿蔔|醬油|八角
番茄炒蛋,主菜,酸甜開胃的經典家常菜，營養滿分,番茄|雞蛋|薑|鹽|糖
紅燒豆腐,主菜,鹹香入味的豆腐料理，超級下飯,板豆腐|香菇|紅蘿蔔|薑|醬油
九層塔烘蛋,主菜,香氣四溢的台式蛋料理,雞蛋|九層塔|鹽
芹菜炒豆干,主菜,清脆爽口的快炒料理,芹菜|豆干|辣椒|鹽
香菇炒蘆筍,主菜,鮮美清爽的時蔬料理,蘆筍|香菇|薑|鹽
塔香茄子,主菜,九層塔與茄子的絕妙搭配,茄子|九層塔|醬油|糖
金銀蛋苦瓜,主菜,皮蛋與雞蛋交織的豐富口感，降低苦瓜苦味,苦瓜|雞蛋|皮蛋|薑
絲瓜燴豆腐,主菜,絲瓜的清甜配上滑嫩豆腐,絲瓜|嫩豆腐|薑|鹽
馬鈴薯燉素肉,主菜,口感綿密的馬鈴薯配上鹹香素肉,馬鈴薯|紅蘿蔔|素肉燥|醬油
玉米筍炒甜椒,主菜,色彩繽紛，口感爽脆,玉米筍|甜椒(彩椒)|薑|鹽
三杯杏鮑菇,主菜,經典三杯風味，香氣逼人,杏鮑菇|薑|九層塔|黑麻油|醬油
麻婆豆腐,主菜,香辣過癮，白飯殺手,嫩豆腐|素肉燥|豆瓣醬|辣椒|薑
宮保高麗菜,主菜,香辣脆甜，口感層次豐富,高麗菜|辣椒|花生|薑|醬油|白醋
糖醋豆包,主菜,酸甜醬汁包裹酥脆豆包,豆包|甜椒(彩椒)|番茄|糖|白醋
黑胡椒鐵板豆腐,主菜,黑胡椒香氣濃郁，風味獨特,板豆腐|甜椒(彩椒)|黑胡椒|醬油|奶油
泰式綠咖哩蔬,主菜,濃郁椰香微辣綠咖哩，充滿南洋風情,綠咖哩醬(素)|椰奶|茄子|玉米筍|九層塔
泰式紅咖哩什錦,主菜,溫潤紅咖哩與多種蔬菜的完美結合,紅咖哩醬(素)|椰奶|鳳梨|秀珍菇|番茄
泰式打拋素肉,主菜,泰式經典下飯菜，鹹香帶辣,素肉燥|打拋葉(聖羅勒)|辣椒|番茄|檸檬|醬油
義式烘蛋,主菜,豐富蔬菜與蛋香的義式家常菜,雞蛋|馬鈴薯|甜椒(彩椒)|菠菜|起司
焗烤馬鈴薯,主菜,香濃起司與綿密馬鈴薯的罪惡美味,馬鈴薯|鮮奶|奶油|摩扎瑞拉起司(Mozzarella)
義式燉時蔬,主菜,多種蔬菜燉煮，保留食材原味,茄子|甜椒(彩椒)|番茄|櫛瓜|義式香料粉
黑胡椒杏鮑菇排,主菜,素食牛排口感，黑胡椒醬汁濃郁,杏鮑菇|黑胡椒|醬油|奶油
奶油白醬燉菜,主菜,奶香濃郁，溫暖人心的燉菜,白花椰菜|馬鈴薯|鮮奶|奶油|鹽
青醬炒鮮菇,主菜,羅勒青醬與鮮菇的清爽搭配,杏鮑菇|鴻喜菇|九層塔|松子|初榨橄欖油
起司焗烤花椰菜,主菜,金黃焦香起司覆蓋脆嫩花椰菜,青花菜|鮮奶|奶油|帕瑪森起司粉
芋頭栗子燒,主菜,鬆軟芋頭與香甜栗子，象徵圓滿,芋頭|栗子|香菇|醬油|糖
紅燒素雞,主菜,經典年節大菜，醬香濃郁,素雞|薑|八角|醬油|糖
羅漢齋,主菜,多種素料共煮，寓意豐富吉祥,大白菜|香菇|木耳|竹筍|紅蘿蔔|豆包|醬油
蠔油芥菜,主菜,長年菜象徵長壽，年夜飯必備,芥菜(長年菜)|素蠔油|薑
富貴滷拼盤,主菜,多種滷味拼盤，豐盛開胃,豆干|海帶|素肚|八角|醬油|糖
涼拌小黃瓜,配菜,清脆爽口，經典開胃小菜,小黃瓜|辣椒|糖|白醋|香油(白麻油)
皮蛋豆腐,配菜,滑嫩豆腐配上獨特皮蛋香,嫩豆腐|皮蛋|素蠔油|香菜|薑
薑油地瓜葉,配菜,古早味家常菜，營養豐富,地瓜葉|薑|醬油|香油(白麻油)
薑絲炒水蓮,配菜,口感清脆，帶有淡淡蓮香,水蓮|薑|秀珍菇|鹽|香油(白麻油)
清炒高麗菜,配菜,保留高麗菜原本的鮮甜,高麗菜|紅蘿蔔|薑|鹽
醋溜土豆絲,配菜,酸辣脆爽，馬鈴薯的經典做法,馬鈴薯|辣椒|白醋|糖|鹽
椒鹽杏鮑菇,配菜,鹹香酥脆，口感似鹽酥雞,杏鮑菇|九層塔|白胡椒|鹽
麻油炒紅鳳菜,配菜,補血養生，麻油香氣溫潤,紅鳳菜|薑|黑麻油|鹽
清蒸蛋,配菜,滑嫩如布丁，老少咸宜,雞蛋|鹽|醬油
涼拌素雞,配菜,口感Q彈，醬香入味,素雞|小黃瓜|辣椒|醬油|香油(白麻油)
涼拌黑木耳,配菜,酸溜開胃，富含膠質,木耳|薑|辣椒|白醋|醬油
優格馬鈴薯沙拉,配菜,清爽優格取代美乃滋，健康無負擔,馬鈴薯|紅蘿蔔|小黃瓜|雞蛋|優格
奶油香煎玉米筍,配菜,奶油香氣襯托玉米筍鮮甜,玉米筍|奶油|黑胡椒|鹽
醬燒南瓜,配菜,鹹甜交織，口感綿密,南瓜|薑|醬油|糖
紅油素肚,配菜,香辣帶勁，口感豐富,素肚|辣椒|花生|醬油|白醋
涼拌海帶芽,配菜,日式風味，清爽解膩,海帶芽|薑|白醋|糖|芝麻
香煎櫛瓜,配菜,簡單香煎，鎖住櫛瓜多汁口感,櫛瓜|初榨橄欖油|黑胡椒|鹽
義式烤時蔬,配菜,義式香料提味，色彩繽紛,甜椒(彩椒)|櫛瓜|杏鮑菇|義式香料粉|初榨橄欖油
泰式涼拌秀珍菇,配菜,酸辣泰式風味，清爽開胃,秀珍菇|番茄|檸檬|辣椒|香菜
咖哩炒花椰菜,配菜,咖哩香氣濃郁，異國風情,白花椰菜|咖哩粉|鹽|薑
奶油菠菜,配菜,西式經典配菜，奶香濃郁,菠菜|奶油|鮮奶|鹽
蜜漬黑豆,配菜,日式年菜，象徵勤勞健康,黑豆|糖|醬油
涼拌蓮藕,配菜,爽脆清甜，寓意路路通,蓮藕|白醋|糖|薑
涼拌茄子,配菜,艷麗紫色，軟嫩入味,茄子|醬油|白醋|香菜|薑
胡麻秋葵,配菜,星星造型，胡麻醬香濃郁,秋葵|芝麻|醬油|糖
酸辣湯,湯品,酸辣開胃，口感豐富的經典湯品,嫩豆腐|木耳|竹筍|紅蘿蔔|白醋|白胡椒|醬油|香油(白麻油)
海帶芽豆腐湯,湯品,簡單快速，營養滿分的清爽湯品,海帶芽|嫩豆腐|薑|鹽|香油(白麻油)
番茄豆腐湯,湯品,番茄的酸甜融入湯頭，開胃健康,番茄|板豆腐|薑|鹽|香油(白麻油)
紫菜蛋花湯,湯品,幾分鐘就能上桌的經典家常湯,紫菜|雞蛋|芹菜|鹽|香油(白麻油)
蘿蔔絲湯,湯品,白蘿蔔清甜，加入芹菜提味更鮮美,白蘿蔔|芹菜|白胡椒|鹽
大黃瓜蛋花湯,湯品,清淡爽口，夏日消暑首選,大黃瓜|雞蛋|薑|鹽|香油(白麻油)
薑絲冬瓜湯,湯品,冬瓜軟爛，薑絲去寒提鮮,冬瓜|薑|芹菜|鹽
菠菜豆腐湯,湯品,綠白相間，營養豐富的健康湯品,菠菜|嫩豆腐|薑|鹽|香油(白麻油)
南瓜濃湯,湯品,口感綿密濃郁，大人小孩都愛,南瓜|馬鈴薯|鮮奶|奶油|鹽|黑胡椒
義式蔬菜湯,湯品,滿滿蔬菜精華，義式香料畫龍點睛,番茄|高麗菜|紅蘿蔔|芹菜|馬鈴薯|義式香料粉|番茄糊(Paste)
素羅宋湯,湯品,蔬菜熬煮出的酸甜湯頭，暖胃首選,番茄|馬鈴薯|紅蘿蔔|高麗菜|月桂葉|黑胡椒|鹽
泰式酸辣菇湯,湯品,酸辣帶勁，充滿南洋香料風味,秀珍菇|番茄|香茅|檸檬葉|南薑|檸檬|辣椒|椰奶
奶油蘑菇濃湯,湯品,奶香濃郁，每一口都喝得到菇的鮮美,香菇|鴻喜菇|馬鈴薯|鮮奶|奶油|黑胡椒|鹽
麻油猴頭菇湯,湯品,猴頭菇吸滿麻油湯汁，溫補養生,猴頭菇|薑|黑麻油|鹽
素佛跳牆,湯品,豐富食材共煮，湯頭鮮甜層次多,芋頭|栗子|香菇|竹筍|大白菜|素火腿|醬油|白胡椒
牛蒡腰果湯,湯品,牛蒡清香與腰果甜味，養生清湯,牛蒡|紅蘿蔔|玉米筍|腰果|鹽
蓮藕花生湯,湯品,蓮藕鬆軟花生綿密，經典古早味,蓮藕|花生|薑|鹽
山藥薏仁湯,湯品,白色食材滋陰潤燥，清爽無負擔,山藥|薏仁|薑|鹽
檸檬愛玉,甜點/飲料,酸甜清涼，台灣經典夏日甜品,愛玉|檸檬|糖|蜂蜜
蜂蜜檸檬水,甜點/飲料,簡單天然，補充維他命C,檸檬|蜂蜜
黑糖薑茶,甜點/飲料,暖身驅寒，微辣黑糖香,薑|黑糖
蘋果銀耳甜湯,甜點/飲料,滋陰潤燥，銀耳膠質豐富,蘋果|銀耳(白木耳)|糖
紅豆湯,甜點/飲料,綿密香甜，補氣養血,紅豆|糖
綠豆薏仁湯,甜點/飲料,清熱退火，美白消水腫,綠豆|薏仁|糖
木瓜牛奶,甜點/飲料,香濃滑順，台灣夜市經典飲品,木瓜|鮮奶|糖
香蕉牛奶,甜點/飲料,濃郁香蕉香氣，營養滿分,香蕉|鮮奶
酪梨蜂蜜牛奶,甜點/飲料,營養價值高，口感如奶油般滑順,酪梨|鮮奶|蜂蜜
綜合水果優格,甜點/飲料,酸甜開胃，健康輕食點心,蘋果|芭樂|鳳梨|優格|蜂蜜
芋頭西米露,甜點/飲料,芋頭綿密，椰奶香濃,芋頭|西谷米|椰奶|糖
黑糖蒟蒻鮮奶,甜點/飲料,Q彈蒟蒻配上黑糖鮮奶，口感豐富,蒟蒻|黑糖|鮮奶
古早味仙草蜜,甜點/飲料,清涼降火，甘甜順口,仙草|糖|蜂蜜
摩摩喳喳,甜點/飲料,南洋風味甜品，色彩繽紛,西谷米|椰奶|糖|地瓜|紅豆|鳳梨
芝麻豆漿,甜點/飲料,香濃芝麻與豆香交織，養生飲品,芝麻|豆漿|糖
台式水餃沾醬,醬料/醃料,經典醋醬風味，提味解膩,醬油|白醋|香油(白麻油)|薑
薑泥油膏,醬料/醃料,鹹甜適中，適合沾豆腐或川燙青菜,薑|素蠔油|醬油|糖
泰式酸辣醬,醬料/醃料,酸辣開胃，適合涼拌或沾炸物,檸檬|辣椒|糖|香菜|醬油
和風芝麻沙拉醬,醬料/醃料,清爽日式風味，帶有芝麻香氣,醬油|白醋|糖|香油(白麻油)|芝麻
蜂蜜油醋醬,醬料/醃料,酸甜平衡，適合搭配生菜沙拉,蜂蜜|初榨橄欖油|白醋|鹽
義式油醋醬,醬料/醃料,經典義式風味，簡單高級,初榨橄欖油|巴薩米克醋(紅酒醋)|義式香料粉|鹽|黑胡椒
素沙茶拌醬,醬料/醃料,重口味首選，適合拌麵或沾醬,素沙茶|醬油|黑醋
薑醋汁,醬料/醃料,暖胃去寒，適合沾食寒性蔬菜,薑|黑醋|糖
酪梨莎莎醬,醬料/醃料,口感滑順，墨西哥風味沾醬,酪梨|番茄|檸檬|香菜|鹽|黑胡椒
羅勒青醬,醬料/醃料,濃郁塔香，適合塗抹麵包或拌麵,九層塔|松子|初榨橄欖油|帕瑪森起司粉|鹽|黑胡椒
蔬菜清甜高湯,高湯/湯底,使用多種蔬菜熬煮，湯頭鮮甜自然,高麗菜|紅蘿蔔|芹菜|番茄|蘋果
昆布薑味高湯,高湯/湯底,日式基礎高湯，淡雅鮮味,海帶|薑
香菇黃豆高湯,高湯/湯底,素食高湯的經典，香氣濃郁,香菇|黃豆|高麗菜
義式番茄湯底,高湯/湯底,酸香濃郁，適合燉煮蔬菜或做湯麵,番茄|番茄糊(Paste)|義式香料粉|芹菜|紅蘿蔔
南洋椰香咖哩湯底,高湯/湯底,濃郁椰奶與咖哩香氣，適合火鍋湯底,咖哩粉|椰奶|薑|香茅
川味麻辣湯底,高湯/湯底,香辣過癮，重口味愛好者首選,豆瓣醬|辣椒|薑|醬油|糖
麻油薑膳湯底,高湯/湯底,溫補暖身，適合冬日鍋物,黑麻油|薑|高麗菜
玉米蔬菜湯底,高湯/湯底,清爽甘甜，小朋友的最愛,玉米筍|紅蘿蔔|高麗菜|鹽